VEHICLE_NAME,VEHICLE_TID,ORGUNIT_NAME,VEHICLE_MODEL,VEHICLE_ID,ORGUNIT_ID,OPD_DATE
8457,8457,GoBus,DDS,8457,1844976,22-MAR-23
8458,8458,GoBus,DDS,8458,1844976,22-MAR-23
8459,8459,GoBus,DDS,8459,1844976,22-MAR-23
8460,8460,GoBus,DDS,8460,1844976,22-MAR-23
8461,8461,GoBus,DDS,8461,1844976,25-FEB-23
8462,8462,GoBus,DDS 2018,8462,1844976,14-SEP-22
8463,8463,GoBus,DDS,8463,1844976,22-MAR-23
8464,8464,GoBus,DDS,8464,1844976,22-MAR-23
8465,8465,GoBus,DDS,8465,1844976,22-MAR-23
8466,8466,GoBus,DDS 2018,8466,1844976,15-AUG-22
8467,8467,GoBus,DDS 2018,8467,1844976,02-AUG-22
8468,8468,GoBus,DDS 2018,8468,1844976,14-SEP-22
8469,8469,GoBus,DDS 2018,8469,1844976,15-AUG-22
8470,8470,GoBus,DDS,8470,1844976,22-MAR-23
8471,8471,GoBus,DDS,8471,1844976,09-MAR-23
8472,8472,GoBus,DDS,8472,1844976,09-MAR-23
8473,8473,GoBus,DDS,8473,1844976,22-MAR-23
8474,8474,GoBus,DDS,8474,1844976,16-DEC-22
8475,8475,GoBus,DDS 2018,8475,1844976,13-SEP-22
8476,8476,GoBus,DDS,8476,1844976,22-MAR-23
8477,8477,GoBus,DDS,8477,1844976,22-MAR-23
8478,8478,GoBus,DDS 2018,8478,1844976,19-JUL-22
8479,8479,GoBus,DDS 2018,8479,1844976,06-AUG-22
8480,8480,GoBus,DDS,8480,1844976,22-MAR-23
8481,8481,GoBus,DDS,8481,1844976,22-MAR-23
8482,8482,GoBus,DDS 2018,8482,1844976,14-SEP-22
8483,8483,GoBus,DDS,8483,1844976,22-MAR-23
8484,8484,GoBus,DDS,8484,1844976,22-MAR-23
8485,8485,GoBus,DDS,8485,1844976,22-MAR-23
8486,8486,GoBus,DDS,8486,1844976,22-MAR-23
8487,8487,GoBus,DDS,8487,1844976,18-MAR-23
8488,8488,GoBus,DDS 2018,8488,1844976,17-AUG-22
8489,8489,GoBus,DDS,8489,1844976,22-MAR-23
8490,8490,GoBus,DDS 2018,8490,1844976,13-AUG-22
8491,8491,GoBus,DDS,8491,1844976,22-MAR-23
8492,8492,GoBus,DDS,8492,1844976,22-MAR-23
8493,8493,GoBus,DDS,8493,1844976,22-MAR-23
8495,8495,GoBus,DDS,8495,1844976,22-MAR-23
8496,8496,GoBus,DDS,8496,1844976,22-MAR-23
8497,8497,GoBus,DDS,8497,1844976,22-MAR-23
8498,8498,GoBus,DDS 2018,8498,1844976,11-AUG-22
8499,8499,GoBus,DDS,8499,1844976,22-MAR-23
8501,8501,GoBus,DDS 2018,8501,1844976,04-JUL-21
8502,8502,GoBus,DDS,8502,1844976,22-MAR-23
8503,8503,GoBus,DDS,8503,1844976,22-MAR-23
8504,8504,GoBus,DDS,8504,1844976,22-MAR-23
8505,8505,GoBus,DDS 2018,8505,1844976,04-JUL-22
8506,8506,GoBus,DDS 2018,8506,1844976,19-MAY-22
8507,8507,GoBus,DDS,8507,1844976,21-MAR-23
8508,8508,GoBus,DDS,8508,1844976,22-MAR-23
8509,8509,GoBus,DDS,8509,1844976,22-MAR-23
8510,8510,GoBus,DDS 2018,8510,1844976,27-MAY-22
8511,8511,GoBus,DDS,8511,1844976,15-MAR-23
8512,8512,GoBus,DDS,8512,1844976,22-MAR-23
8513,8513,GoBus,DDS,8513,1844976,25-FEB-23
8514,8514,GoBus,DDS,8514,1844976,20-MAR-23
8515,8515,GoBus,DDS,8515,1844976,22-MAR-23
8516,8516,GoBus,DDS,8516,1844976,25-FEB-23
8517,8517,GoBus,DDS,8517,1844976,22-MAR-23
8518,8518,GoBus,DDS,8518,1844976,22-MAR-23
8519,8519,GoBus,DDS 2018,8519,1844976,13-SEP-22
8520,8520,GoBus,DDS 2018,8520,1844976,14-SEP-22
8521,8521,GoBus,DDS,8521,1844976,22-MAR-23
8522,8522,GoBus,DDSB,8522,1844976,22-MAR-23
8523,8523,GoBus,DDSB,8523,1844976,22-MAR-23
8524,8524,GoBus,DDSB,8524,1844976,22-MAR-23
8525,8525,GoBus,DDSB,8525,1844976,25-FEB-23
8526,8526,GoBus,DDS 2018,8526,1844976,24-JUL-22
8527,8527,GoBus,DDSB,8527,1844976,22-MAR-23
8528,8528,GoBus,DDSB,8528,1844976,22-MAR-23
8529,8529,GoBus,DDS 2018,8529,1844976,30-JUL-22
8530,8530,GoBus,DDSB,8530,1844976,22-MAR-23
8531,8531,GoBus,DDSB,8531,1844976,22-MAR-23
8532,8532,GoBus,DDSB,8532,1844976,22-FEB-23
8533,8533,GoBus,DDS 2018,8533,1844976,23-APR-22
8535,8535,GoBus,DDSB,8535,1844976,22-MAR-23
8536,8536,GoBus,DDSB,8536,1844976,22-MAR-23
8537,8537,GoBus,DDS 2018,8537,1844976,24-JUN-22
8538,8538,GoBus,DDSB,8538,1844976,22-MAR-23
8539,8539,GoBus,DDS 2018,8539,1844976,08-JUN-22
8540,8540,GoBus,DDSB,8540,1844976,22-MAR-23
8541,8541,GoBus,DDSB,8541,1844976,07-FEB-23
8542,8542,GoBus,DDSB,8542,1844976,22-MAR-23
8543,8543,GoBus,DDSB,8543,1844976,22-MAR-23
8544,8544,GoBus,DDSB,8544,1844976,22-MAR-23
